,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,kitchen_area,cityCenters_nearest,days_exposition
0,13000000,108.0,3,2.7,16,51.0,8,25.0,16028.0,95
2,5196000,56.0,2,2.7,5,34.3,4,8.3,13933.0,558
3,64900000,159.0,3,2.7,14,84.32411484078092,9,74.67588515921908,6800.0,424
4,10000000,100.0,2,3.03,14,32.0,13,41.0,8098.0,121
7,7915000,71.6,2,2.7,24,37.97236869559694,22,18.9,11634.0,95
9,5400000,61.0,3,2.5,9,43.6,7,6.5,15008.0,289
10,5050000,39.6,1,2.67,12,20.3,3,8.5,13878.0,137
15,4650000,39.0,1,2.7,14,20.5,5,7.6,14259.0,19
16,6700000,82.0,3,3.05,5,55.6,1,9.0,10698.0,397
17,4180000,36.0,1,2.7,17,16.5,7,11.0,14616.0,571
18,3250000,31.0,1,2.5,5,19.4,2,5.6,10842.0,168
19,14200000,121.0,3,2.75,16,76.0,8,12.0,12843.0,97
21,3200000,31.6,1,2.7,5,16.9,2,5.7,9722.0,310
23,2950000,32.0,1,2.6,9,17.7,9,6.1,14211.0,615
24,6500000,97.2,2,2.7,3,46.5,1,19.6,2336.0,265
25,6800000,76.0,2,2.75,23,39.0,18,15.0,14640.0,300
26,4050000,60.0,4,2.7,5,43.0,4,7.0,10510.0,265
27,7100000,70.0,3,2.6,17,49.0,11,9.2,11456.0,151
29,8600000,100.0,3,2.7,19,52.0,15,11.0,11526.0,125
31,7200000,67.9,2,2.8,16,38.1,4,13.4,12944.0,112
32,4990000,60.0,3,2.7,5,39.0,4,6.0,12889.0,224
34,3290000,33.0,1,2.55,16,14.0,3,8.0,12739.0,15
35,15500000,149.0,5,2.7,5,104.0,4,17.0,3502.0,644
36,3790000,45.0,2,2.7,9,27.0,9,6.3,16461.0,139
39,5200000,54.4,2,2.75,9,29.7,2,8.8,12209.0,29
41,7900000,74.0,3,2.7,14,59.0,8,12.0,12612.0,179
43,9330000,48.0,2,3.0,4,28.0,4,7.5,10822.0,763
44,5350000,40.0,1,2.7,22,21.213613796422873,3,18.786386203577127,11603.0,95
45,5200000,50.6,2,2.65,9,30.3,7,7.0,12872.0,95
46,6600000,52.1,2,2.6,24,29.7,9,8.3,12702.0,95
48,3600000,33.83,1,2.7,24,15.35,6,9.5,16788.0,322
49,3050000,30.8,1,2.5,9,18.0,7,6.0,16603.0,95
51,45000000,161.0,3,3.2,8,38.0,4,50.0,6589.0,541
52,11795000,136.0,6,3.0,2,94.0,2,11.0,6582.0,95
54,3320000,36.5,1,2.7,24,14.0,6,12.0,14495.0,44
55,7400000,58.8,2,2.6,10,33.7,9,10.7,12260.0,69
56,4350000,41.0,1,2.8,7,18.1,4,11.1,9626.0,152
58,3900000,33.0,1,2.6,9,19.0,5,7.0,15579.0,298
59,6300000,46.5,1,2.7,13,24.66082603834159,13,21.83917396165841,14501.0,336
61,7990000,74.0,2,2.7,4,43.0,4,20.0,4288.0,609
63,20000000,118.0,3,3.0,9,68.0,7,16.0,4800.0,37
65,4400000,57.0,3,2.5,5,39.0,2,7.0,10484.0,216
70,3400000,30.0,1,2.7,5,16.0,1,7.0,8313.0,14
71,4850000,57.5,3,2.5,9,39.0,8,6.2,12267.0,95
75,4950000,44.0,2,2.7,23,21.0,19,15.0,14545.0,36
77,4300000,62.1,3,2.55,5,43.5,1,7.3,15572.0,186
78,4350000,37.0,1,2.7,19,18.0,6,10.7,14192.0,45
85,5200000,46.3,2,3.0,5,27.8,5,8.0,9319.0,65
87,4999000,52.0,2,2.61,9,30.0,6,9.0,15035.0,95
90,6450000,67.7,3,2.7,9,40.0,4,8.0,13832.0,534
93,3500000,40.4,1,2.75,9,20.0,7,10.0,11648.0,239
94,3500000,29.5,1,2.5,5,15.6,2,5.5,7303.0,4
95,5150000,47.0,2,2.75,9,28.1,9,7.0,13743.0,34
96,8780000,78.3,3,2.5,15,51.0,9,11.0,16333.0,31
98,11700000,80.0,3,2.7,5,55.1,3,11.0,8767.0,831
99,9600000,90.0,4,2.7,5,67.0,2,8.0,2818.0,104
100,3800000,38.6,1,2.7,9,18.0,6,8.4,13364.0,8
102,3700000,33.0,1,2.7,14,18.0,2,6.2,16140.0,88
103,4800000,35.0,1,2.7,25,17.0,9,9.0,9719.0,19
104,6900000,77.2,4,2.6,9,61.0,1,6.0,10787.0,300
105,4900000,32.0,1,2.7,25,15.0,5,9.0,15598.0,60
106,10500000,124.1,5,3.2,4,79.4,3,20.0,5527.0,6
108,9490000,80.0,3,2.55,10,46.0,7,11.0,9860.0,95
111,4590000,40.0,1,2.7,6,18.0,1,10.0,6175.0,31
114,4000000,21.4,1,2.9,8,8.3,7,6.3,5791.0,95
115,3850000,42.0,2,2.7,5,27.0,4,6.5,8535.0,73
116,10999000,97.2,3,2.5,16,51.54908152530758,16,18.3,21138.0,394
117,8520000,84.7,3,3.2,5,55.9,4,8.4,9816.0,390
118,4500000,31.0,1,2.5,9,17.0,4,5.0,9089.0,60
119,6200000,67.0,3,2.7,6,42.5,2,8.2,12250.0,330
121,33000000,180.0,3,2.9,9,86.0,8,24.0,4264.0,144
123,4300000,48.0,1,2.7,22,14.0,5,23.8,15747.0,9
124,12490000,87.8,3,2.7,12,45.1,3,24.0,13845.0,95
125,4800000,65.9,3,2.55,9,48.5,8,6.3,17093.0,239
127,6210000,55.0,2,2.5,11,31.9,3,8.3,11990.0,95
129,3200000,32.0,1,2.5,9,18.0,3,8.0,16425.0,40
134,3800000,33.7,1,2.65,17,15.1,3,7.3,15458.0,353
136,6500000,51.8,2,3.45,6,25.6,2,7.3,3618.0,163
137,13310800,85.1,2,2.7,10,31.52,5,26.85,4263.0,340
138,4800000,40.0,2,2.7,3,29.0,2,6.0,2913.0,80
141,6500000,32.6,1,2.7,5,18.5,5,5.5,5448.0,95
143,2990000,30.0,1,2.5,9,20.0,9,5.6,6262.0,60
145,8290000,77.0,2,2.77,16,40.0,5,10.0,7384.0,807
147,27700000,179.6,5,2.85,25,97.2,25,33.8,4489.0,75
148,4790000,35.5,1,2.65,25,17.0,20,9.0,11841.0,71
149,5300000,53.0,2,2.65,12,31.5,6,7.6,12247.0,55
150,3900000,45.0,2,2.7,5,29.0,3,6.0,9052.0,222
152,8090000,81.22,3,2.64,24,42.9,10,12.72,16576.0,104
154,8200000,80.0,3,4.15,3,44.2,2,12.2,3167.0,38
155,96000000,317.0,4,3.5,3,183.0,3,134.0,1771.0,62
156,10990000,80.0,2,2.75,22,34.0,19,19.0,14640.0,7
157,7250000,75.75,2,2.7,22,40.61,3,15.0,14184.0,30
159,7050000,66.0,3,3.0,4,37.8,4,11.0,4937.0,98
161,5000000,42.9,1,2.75,23,18.9,8,7.9,13145.0,69
162,5600000,66.0,3,2.5,9,48.0,9,6.3,17018.0,95
163,6500000,67.4,3,2.65,17,40.1,6,10.3,14844.0,56
167,3750000,35.1,1,2.75,23,15.9,1,9.8,17642.0,95
169,6180000,85.0,3,2.8,17,51.8,17,17.5,14853.0,20
173,11000000,97.9,3,2.75,16,57.7,3,14.7,12621.0,95
176,7835000,52.56,1,2.7,24,15.36,2,20.91,12153.0,95
177,21042018,154.9,4,3.3,16,89.11,3,21.3,8460.0,563
178,16300000,153.0,4,2.71,10,89.4,10,63.599999999999994,14042.0,95
179,14800000,108.7,3,4.0,5,72.4,5,8.0,2559.0,95
180,3850000,31.7,1,2.5,5,17.9,2,5.6,10933.0,8
181,7900000,71.8,3,3.0,5,38.7,1,12.0,3301.0,95
184,2600000,30.2,1,2.65,9,24.0,5,6.2,15031.0,12
185,8500000,49.9,1,3.0,16,18.9,14,10.6,8946.0,145
187,4300000,52.3,2,2.7,12,29.8,4,10.9,13643.0,69
188,4600000,38.5,1,2.5,12,18.5,5,20.0,16735.0,95
189,6150000,62.0,3,2.7,9,41.5,5,8.5,12168.0,45
190,5200000,62.8,3,2.7,9,39.7,2,9.7,15579.0,233
191,6400000,55.8,3,2.5,9,38.0,2,7.7,16606.0,92
193,7920000,83.8,4,2.47,9,55.9,9,9.8,7724.0,155
194,7700000,85.0,3,2.7,10,50.0,1,11.0,14719.0,50
195,5300000,60.0,3,2.7,9,31.820420694634308,4,28.179579305365692,17061.0,372
196,8715960,57.0,1,2.7,5,20.0,5,16.0,16465.0,119
201,10880000,123.1,6,3.2,5,89.0,2,11.0,3369.0,992
202,4700000,67.0,3,2.7,9,43.4,1,8.8,14157.0,339
203,3999000,34.1,1,2.7,25,14.47,12,10.4,15945.0,355
206,5080000,31.3,1,2.5,7,16.0,4,7.6,6692.0,95
207,9000000,72.6,2,2.9,5,43.2,4,11.4,1645.0,95
209,4700000,45.0,2,2.5,9,27.4,4,8.6,15070.0,95
211,8000000,54.0,2,2.77,18,31.0,10,11.0,13841.0,11
212,10018000,82.0,3,2.7,23,47.0,9,13.0,13255.0,543
213,8700000,111.4,4,3.1,4,73.2,2,14.1,1218.0,791
214,4150000,50.41,2,2.5,9,31.1,8,7.0,12168.0,274
216,6700000,65.6,2,2.55,10,36.7,10,10.9,11992.0,31
